ID,名前,アイコンパス,装備箇所,防御力,最低レベル,最高レベル,ドロップ率
1,木の脚装備,Greaves.png,5,5,1,10,100000
1,木の腕装備,Arm.PNG,4,5,1,10,100000
1,木の胴装備,Armor.png,3,5,1,10,100000
1,木の頭装備,helm.png,2,5,1,10,100000
2,石の頭装備,helm.png,2,10,5,20,10
2,石の脚装備,Greaves.png,5,10,5,20,10
2,石の腕装備,Arm.PNG,4,10,5,20,10
2,石の胴装備,Armor.png,3,10,5,20,10
3,鉄の頭装備,helm.png,2,15,10,30,10
3,鉄の脚装備,Greaves.png,5,15,10,30,10
3,鉄の腕装備,Arm.PNG,4,15,10,30,10
3,鉄の胴装備,Armor.png,3,15,10,30,10
4,金の頭装備,helm.png,2,20,20,40,10
4,金の脚装備,Greaves.png,5,20,20,40,10
4,金の腕装備,Arm.PNG,4,20,20,40,10
4,金の胴装備,Armor.png,3,20,20,40,10
5,ダイヤの脚装備,Greaves.png,5,25,30,50,10
5,ダイヤの腕装備,Arm.PNG,4,25,30,50,10
5,ダイヤの胴装備,Armor.png,3,25,30,50,10
5,ダイヤの頭装備,helm.png,2,25,30,50,10
6,アダマンタイトの脚装備,Greaves.png,5,30,40,100,10
6,アダマンタイトの腕装備,Arm.PNG,4,30,40,100,10
6,アダマンタイトの胴装備,Armor.png,3,30,40,100,10
6,アダマンタイトの頭装備,helm.png,2,30,40,100,10
